France;UEFA;Didier Deschamps;1;32;14;11;2;1
Spain;UEFA;Luis de la Fuente;2;37;17;13;2;1
Argentina;CONMEBOL;Lionel Scaloni;3;35;15;11;2;2
England;UEFA;Thomas Tuchel;4;26;12;8;2;2
Portugal;UEFA;Roberto Martinez;5;27;11;9;2;1
Brazil;CONMEBOL;Dorival Junior;6;32;17;9;5;2
Netherlands;UEFA;Ronald Koeman;7;29;11;11;1;1
Belgium;UEFA;Rudi Garcia;8;29;12;10;2;1
Germany;UEFA;Julian Nagelsmann;9;31;13;11;2;1
Italy;UEFA;Luciano Spalletti;10;30;12;11;1;1
Morocco;CAF;Walid Regragui;11;31;13;10;2;2
Uruguay;CONMEBOL;Marcelo Bielsa;12;22;14;7;3;4
Colombia;CONMEBOL;Nestor Lorenzo;13;24;10;8;6;1
Croatia;UEFA;Zlatko Dalic;14;28;14;8;2;3
Mexico;Concacaf;Javier Aguirre;15;21;15;5;4;3
United States;Concacaf;Mauricio Pochettino;16;20;15;5;2;4
Japan;AFC;Hajime Moriyasu;17;41;11;14;0;0
Iran;AFC;Amir Ghalenoei;18;23;16;4;5;1
Senegal;CAF;Pape Thiaw;19;17;7;7;2;1
Denmark;UEFA;Brian Riemer;20;27;15;9;1;3
Austria;UEFA;Ralf Rangnick;22;23;13;7;1;4
Korea Republic;AFC;Hong Myung-bo;23;21;15;4;5;1
Australia;AFC;Tony Popovic;25;18;12;4;2;3
Turkey;UEFA;Vincenzo Montella;26;19;13;6;2;4
Serbia;UEFA;Dragan Stojkovic;27;19;14;6;1;5
Sweden;UEFA;Jon Dahl Tomasson;28;18;13;5;2;4
Egypt;CAF;Hossam Hassan;29;34;12;12;1;1
Canada;Concacaf;Jesse Marsch;30;19;16;5;2;5
Paraguay;CONMEBOL;Gustavo Alfaro;31;16;14;6;4;3
Panama;Concacaf;Thomas Christiansen;32;15;15;4;3;4
Nigeria;CAF;Eric Chelle;34;14;11;4;4;3
Costa Rica;Concacaf;Miguel Herrera;36;13;15;3;2;6
Tunisia;CAF;Sabri Lamouchi;37;16;7;6;3;2
Czech Republic;UEFA;Ivan Hasek;41;15;14;4;2;5
Qatar;AFC;Julen Lopetegui;43;25;17;4;4;2
Cameroon;CAF;Marc Brys;45;24;11;6;1;3
Scotland;UEFA;Steve Clarke;46;14;14;4;1;6
Uzbekistan;AFC;Timur Kapadze;47;16;14;3;5;2
South Africa;CAF;Hugo Broos;50;14;10;4;4;1
Saudi Arabia;AFC;Herve Renard;51;10;12;3;1;5
Bosnia and Herzegovina;UEFA;Sergej Barbarez;52;14;14;4;1;6
Iraq;AFC;Jesus Casas;53;11;13;2;2;5
Jordan;AFC;Jamal Sellami;54;20;13;4;2;3
Ghana;CAF;Otto Addo;55;28;19;8;2;2
DR Congo;CAF;Sebastien Desabre;56;13;12;4;3;4
Haiti;Concacaf;Sebastien Migne;57;13;15;3;2;6
New Zealand;OFC;Darren Bazeley;58;14;7;4;1;1
Cabo Verde;CAF;Bubista;59;15;6;6;3;1
