France;UEFA;Didier Deschamps;1;34;17;10;3;1
Spain;UEFA;Luis de la Fuente;2;37;17;13;2;1
Argentina;CONMEBOL;Lionel Scaloni;3;39;18;12;2;2
England;UEFA;Thomas Tuchel;4;30;12;11;2;1
Portugal;UEFA;Roberto Martinez;5;28;12;9;2;1
Brazil;CONMEBOL;Dorival Junior;6;26;14;7;4;3
Netherlands;UEFA;Ronald Koeman;7;30;12;11;1;1
Belgium;UEFA;Rudi Garcia;8;31;14;10;2;1
Germany;UEFA;Julian Nagelsmann;9;29;13;10;1;2
Italy;UEFA;Luciano Spalletti;10;39;21;12;2;2
Morocco;CAF;Walid Regragui;11;36;13;13;1;0
Uruguay;CONMEBOL;Marcelo Bielsa;12;25;16;8;3;4
Colombia;CONMEBOL;Nestor Lorenzo;13;24;10;8;6;1
Croatia;UEFA;Zlatko Dalic;14;26;13;7;2;3
Mexico;Concacaf;Javier Aguirre;15;18;14;4;3;4
United States;Concacaf;Mauricio Pochettino;16;20;15;5;2;4
Japan;AFC;Hajime Moriyasu;17;40;12;13;0;1
Iran;AFC;Amir Ghalenoei;18;24;17;4;5;1
Senegal;CAF;Pape Thiaw;19;19;8;8;2;1
Denmark;UEFA;Brian Riemer;20;22;13;7;1;4
Austria;UEFA;Ralf Rangnick;22;21;12;6;2;4
Korea Republic;AFC;Hong Myung-bo;23;20;15;4;4;2
Australia;AFC;Tony Popovic;25;25;17;5;4;2
Turkey;UEFA;Vincenzo Montella;26;20;14;6;2;4
Serbia;UEFA;Dragan Stojkovic;27;19;14;6;1;5
Sweden;UEFA;Jon Dahl Tomasson;28;19;13;6;2;4
Egypt;CAF;Hossam Hassan;29;31;11;10;1;1
Canada;Concacaf;Jesse Marsch;30;18;15;4;3;4
Paraguay;CONMEBOL;Gustavo Alfaro;31;16;14;6;4;3
Panama;Concacaf;Thomas Christiansen;32;14;15;4;2;5
Nigeria;CAF;Eric Chelle;34;13;12;4;2;5
Costa Rica;Concacaf;Miguel Herrera;36;13;14;3;3;5
Tunisia;CAF;Sabri Lamouchi;37;15;5;6;3;1
Czech Republic;UEFA;Ivan Hasek;41;15;14;4;2;5
Qatar;AFC;Julen Lopetegui;43;22;14;4;3;2
Cameroon;CAF;Marc Brys;45;24;11;6;1;3
Scotland;UEFA;Steve Clarke;46;14;13;4;2;5
Uzbekistan;AFC;Timur Kapadze;47;15;13;3;4;2
South Africa;CAF;Hugo Broos;50;16;12;5;3;2
Saudi Arabia;AFC;Herve Renard;51;10;12;3;1;5
Bosnia and Herzegovina;UEFA;Sergej Barbarez;52;15;14;4;2;5
Iraq;AFC;Jesus Casas;53;10;13;2;1;6
Jordan;AFC;Jamal Sellami;54;24;15;5;3;2
Ghana;CAF;Otto Addo;55;22;15;6;2;2
DR Congo;CAF;Sebastien Desabre;56;12;10;4;4;3
Haiti;Concacaf;Sebastien Migne;57;14;15;3;3;5
New Zealand;OFC;Darren Bazeley;58;18;10;5;1;1
Cabo Verde;CAF;Bubista;59;15;6;6;3;1
